stop_id,stop_name,stop_lat,stop_lon,rank,count,interval,category
at:41:10005,Sieggraben Gemeindeamt,47.64996626,16.37935089,3,24,70.0,6
at:41:10018,Antau Kleine Zeile,47.77449804,16.47530893,3,7,240.0,-1
at:41:10019,Stöttera Ost,47.76992773,16.46441236,3,7,240.0,-1
at:41:10020,Zemendorf Volksschule,47.76544759,16.45464767,3,7,240.0,-1
at:41:10021,Zemendorf Wr. Neustädter Str.,47.76235595,16.45163832,3,7,240.0,-1
at:41:10022,Zemendorf Schmale Gasse,47.75991633,16.44795523,3,7,240.0,-1
at:41:10024,Pöttelsdorf Gemeindeamt,47.75300141,16.43690595,3,7,240.0,-1
at:41:10025,Pöttelsdorf Mühlweg,47.75041639,16.43127351,3,7,240.0,-1
at:41:10026,Walbersdorf Kirchäckergasse,47.74342773,16.42103272,3,19,88.42105263157895,6
at:41:10027,Walbersdorf Kirche,47.74104762,16.42025118,3,19,88.42105263157895,6
at:41:10031,Mattersburg Martinsplatz,47.73751351,16.39664346,3,95,17.68421052631579,3
at:41:10032,Mattersburg Brunnenplatz,47.73774912,16.4000301,3,94,17.872340425531913,3
at:41:10054,Mattersburg Berufsschule,47.73689728,16.40453965,3,75,22.4,4
at:41:10055,Mattersburg Felixstraße,47.73397312,16.40969598,3,31,54.193548387096776,5
at:41:10056,Marz Industriestraße,47.72504856,16.41241787,3,19,88.42105263157895,6
at:41:10057,Marz Ortsmitte,47.71912621,16.41699928,3,19,88.42105263157895,6
at:41:10058,Marz Forchtensteinweg,47.71482907,16.41013615,3,5,336.0,-1
at:41:10059,Marz B50/Lehrnertal,47.69691746,16.39573616,3,1,1680.0,-1
at:41:10063,Kalkgruben Ortsmitte,47.62121338,16.39611345,3,24,70.0,6
at:41:10064,Kalkgruben B50 Süd,47.61736231,16.39838619,3,24,70.0,6
at:41:10065,Tschurndorf Ortsmitte,47.60435986,16.40740527,3,24,70.0,6
at:41:10066,Tschurndorf Hauptstraße Süd,47.59612794,16.41248075,3,24,70.0,6
at:41:10067,Markt St. Martin Kirchenplatz,47.56388441,16.42813839,3,22,76.36363636363636,6
at:41:10068,Markt St. Martin Mühlweg,47.56092023,16.43092317,3,22,76.36363636363636,6
at:41:10069,Neutal Bahngasse,47.54594524,16.44386789,3,22,76.36363636363636,6
at:41:10070,Neutal Gemeindeamt,47.54317409,16.44742522,3,22,76.36363636363636,6
at:41:10071,Neutal Süd/Gemeindegrenze,47.53524792,16.4607652,3,22,76.36363636363636,6
at:41:10074,Stoob Evangelische Kirche,47.5251611,16.48040237,3,22,76.36363636363636,6
at:41:10075,Stoob-Süd B50,47.50988464,16.49977005,3,22,76.36363636363636,6
at:41:10087,Schachendorf Abzw. Schandorf,47.2627164,16.42476971,3,17,98.82352941176471,6
at:41:10088,Dürnbach im Bgld Süd,47.26094234,16.39164882,3,16,105.0,6
at:41:10090,Neuhof bei Dürnbach West,47.25663193,16.35041615,3,16,105.0,6
at:41:10091,Neuhof bei Dürnbach Ost,47.25862562,16.35452145,3,16,105.0,6
at:41:10093,Großpetersdorf Wildentengraben,47.24067366,16.31610051,3,38,44.21052631578947,5
at:41:10095,Rotenturm an der Pinka Bahnhofstraße,47.2582842,16.26322567,3,33,50.90909090909091,5
at:41:10096,Rotenturm an der Pinka Hauptstraße,47.25383333,16.24212424,3,21,80.0,6
at:41:10097,Rotenturm an der Pinka Schloßplatz,47.25234556,16.24455868,3,21,80.0,6
at:41:10098,Unterwart Marienplatz,47.259028,16.23520722,3,21,80.0,6
at:41:10099,Unterwart Kirchenallee,47.25928407,16.23389568,3,2,840.0,-1
at:41:10103,Oberwart Internat/BAfEp,47.28135562,16.20382008,3,67,25.074626865671643,4
at:41:10108,Kemeten Tulpengasse,47.24380838,16.15244543,3,34,49.411764705882355,5
at:41:10114,Bocksdorf Güssinger Straße,47.1464177,16.18362595,3,34,49.411764705882355,5
at:41:10118,Deutsch Tschantschendorf Nord,47.10704453,16.28712984,3,27,62.22222222222222,6
at:41:10119,Deutsch Tschantschendorf Ortsmitte,47.10494732,16.29007631,3,27,62.22222222222222,6
at:41:10121,Güssing Wiener Straße Nord,47.07359541,16.31982852,3,27,62.22222222222222,6
at:41:10123,Güssing Hauptplatz,47.05903858,16.32208329,3,50,33.6,4
at:41:10132,Rechnitz Schulgasse,47.30188286,16.4393314,3,14,120.0,6
at:41:10135,Rotenturm an der Pinka Meierhof,47.2525102,16.25095468,3,14,120.0,6
at:41:10141,Güssing Batthyánystraße,47.05335917,16.32387992,3,19,88.42105263157895,6
at:41:10142,Güssing Schulzentrum,47.06382399,16.32405958,3,19,88.42105263157895,6
at:41:10143,Güssing Krankenhaus,47.05064778,16.32204735,3,19,88.42105263157895,6
at:41:10160,Mogersdorf Ost,46.94792963,16.23437178,3,13,129.23076923076923,7
at:41:10162,Jennersdorf Lindenallee Süd,46.9393987,16.14257294,3,14,120.0,6
at:41:10169,Steingraben Güssinger Straße,47.06431964,16.28324013,3,4,420.0,-1
at:41:10227,Heiligenkreuz im Lafnitztal Ortsmitte,46.98858468,16.257719,3,19,88.42105263157895,6
at:41:10259,Gerersdorf bei Güssing Ortsmitte,47.06843764,16.25342505,3,4,420.0,-1
at:41:10260,Rehgraben bei Güssing Dorfstraße Mitte,47.0807347,16.23675232,3,4,420.0,-1
at:41:10262,Kukmirn Gemeindeamt,47.07391967,16.2059401,3,7,240.0,-1
at:41:10295,Oberpullendorf Kammergasse,47.50127374,16.50643555,3,10,168.0,7
at:41:10298,Großwarasdorf Martin-Mersich-Straße,47.53763742,16.5570107,3,2,840.0,-1
at:41:10309,Kleinwarasdorf Ignaz-Horvath-Gasse,47.539196,16.59180245,3,2,840.0,-1
at:41:10310,Kroatisch Minihof Ortsmitte,47.52744188,16.64572832,3,3,560.0,-1
at:41:10311,Nikitsch Schlosstor,47.53410165,16.65135177,3,3,560.0,-1
at:41:10315,Deutschkreutz Friedhofgasse,47.59618852,16.62849863,3,1,1680.0,-1
at:41:10326,Großwarasdorf Johannesgasse,47.54264046,16.55142318,3,2,840.0,-1
at:41:10327,Raiding Sechshauser Straße,47.56370862,16.53154346,3,2,840.0,-1
at:41:10329,Raiding Augasse,47.56892131,16.52300947,3,2,840.0,-1
at:41:10331,Unterfrauenhaid Feldgasse Ost,47.57083654,16.49845851,3,2,840.0,-1
at:41:10335,Lackenbach Haydngasse,47.58858543,16.46329845,3,15,112.0,6
at:41:10336,Lackenbach Wiener Straße,47.5866042,16.46130419,3,15,112.0,6
at:41:10337,Lackenbach Feldgasse,47.5916995,16.46699951,3,15,112.0,6
at:41:10339,Ritzing Hauptplatz,47.6066917,16.49621272,3,15,112.0,6
at:41:10344,Mitterpullendorf Engelberggasse,47.49529565,16.50948084,3,10,168.0,7
at:41:10345,Oberpullendorf Kirche,47.49678265,16.50752251,3,12,140.0,7
at:41:10346,Horitschon Bahnstraße,47.58929429,16.54791077,3,14,120.0,6
at:41:10348,Horitschon Florianigasse,47.5879432,16.54878213,3,9,186.66666666666666,7
at:41:10351,Neckenmarkt Elisabethgasse,47.594147,16.54845874,3,28,60.0,5
at:41:10352,Neckenmarkt Feldgasse,47.60236712,16.54792873,3,2,840.0,-1
at:41:10353,Neckenmarkt Hofstatt,47.60257306,16.54132612,3,2,840.0,-1
at:41:10354,Neckenmarkt Rathausgasse Nord,47.5974667,16.54871027,3,15,112.0,6
at:41:10355,Neckenmarkt Lange Zeile,47.60055601,16.54284427,3,2,840.0,-1
at:41:10358,Unterpetersdorf Kirche,47.59066351,16.58167844,3,15,112.0,6
at:41:10363,Bad Tatzmannsdorf Evangelische Kirche,47.33575457,16.22716729,3,14,120.0,6
at:41:10367,Mariasdorf Ortsmitte,47.36504746,16.23134446,3,2,840.0,-1
at:41:10368,Mariasdorf Kirche,47.36821131,16.23417415,3,2,840.0,-1
at:41:10369,Grodnau B50,47.3753962,16.24727159,3,15,112.0,6
at:41:10374,Bernstein im Bgld Hauptplatz,47.4058101,16.25564389,3,15,112.0,6
at:41:10377,Bernstein im Bgld Graben,47.40830885,16.2633155,3,13,129.23076923076923,7
at:41:10382,Mattersburg Gymnasium,47.736565,16.40056909,3,24,70.0,6
at:41:10392,Pilgersdorf Ägidyplatz,47.44087893,16.34977835,3,3,560.0,-1
at:41:10394,Bubendorf B55,47.42913317,16.35618334,3,3,560.0,-1
at:41:10397,Weißenbachl B50,47.39218957,16.34579881,3,13,129.23076923076923,7
at:41:10398,Langeck im Bgld Kirchengasse,47.40291604,16.3738532,3,13,129.23076923076923,7
at:41:10400,Deutsch Gerisdorf B55,47.4176644,16.36582226,3,3,560.0,-1
at:41:10403,Lockenhaus Abzw. Hochstraß,47.41506884,16.40762087,3,3,560.0,-1
at:41:10404,Lockenhaus Neugasse,47.41275887,16.41248075,3,3,560.0,-1
at:41:10406,Lockenhaus Hauptplatz,47.40681326,16.41841862,3,3,560.0,-1
at:41:10407,Piringsdorf Volksschule,47.44683891,16.4158135,3,13,129.23076923076923,7
at:41:10410,Piringsdorf B50/Reitwiesen,47.44982169,16.4224251,3,13,129.23076923076923,7
at:41:10449,Rechnitz Hauptplatz,47.3049104,16.44104718,3,17,98.82352941176471,6
at:41:10450,Unterschützen Süd,47.31596522,16.20576044,3,4,420.0,-1
at:41:10452,Rotenturm an der Pinka Abzw. Eisenzicken,47.26511219,16.25219436,3,16,105.0,6
at:41:10453,Oberwart Hauptplatz,47.28753474,16.21333324,3,145,11.586206896551724,3
at:41:10454,Oberwart Krankenhaus,47.280539,16.20454772,3,76,22.105263157894736,4
at:41:10456,Riedlingsdorf Privatgasse,47.34823327,16.13316758,3,36,46.666666666666664,5
at:41:10457,Pinkafeld Marktplatz,47.37088218,16.12268424,3,47,35.744680851063826,4
at:41:10459,Litzelsdorf Ortsmitte,47.20763202,16.16157231,3,4,420.0,-1
at:41:10460,Stegersbach P+R/Hauptplatz,47.15846464,16.16832764,3,38,44.21052631578947,5
at:41:10461,Rauchwart im Bgld Abzw. Badesee,47.1333047,16.22566711,3,27,62.22222222222222,6
at:41:10462,St. Michael im Bgld Abzw. Schallendorf,47.12863554,16.2577729,3,27,62.22222222222222,6
at:41:10463,St. Michael im Bgld Hauptplatz,47.126093,16.26910964,3,54,31.11111111111111,4
at:41:10465,Tobaj Gemeindeamt,47.09149994,16.30432359,3,27,62.22222222222222,6
at:41:10473,Weppersdorf Ortsmitte,47.58138116,16.42585667,3,37,45.4054054054054,5
at:41:10474,Weppersdorf Raiffeisenplatz,47.57842403,16.42702448,3,37,45.4054054054054,5
at:41:10475,Weppersdorf Busbahnhof/P+R,47.58655573,16.42167052,3,37,45.4054054054054,5
at:41:10477,Hornstein Esterhazystraße,47.8861614,16.43914275,3,27,62.22222222222222,6
at:41:10500,Markt Allhau Abzw. Berghäuser,47.2806426,16.11147327,3,1,1680.0,-1
at:41:10508,Oberwart Wiener Straße/P+R,47.29615017,16.20555383,3,66,25.454545454545453,4
at:41:10509,Oberwart Johann-Strauß-Gasse Ost,47.29141003,16.20747622,3,67,25.074626865671643,4
at:41:10510,Oberwart Mühlgasse Süd,47.28740068,16.19422607,3,7,240.0,-1
at:41:10512,Pinkafeld Mittelschule,47.36747512,16.12523546,3,1,1680.0,-1
at:41:10513,Pinkafeld Schloßgasse,47.36697621,16.12296272,3,48,35.0,4
at:41:10519,Stegersbach HAK,47.16343046,16.15894025,3,4,420.0,-1
at:41:10523,Steinbrückl Abzw. Markt Allhau,47.27542567,16.15723345,3,41,40.97560975609756,5
at:41:10528,Unterwaldbauern Landesstraße,47.37175217,16.08594315,3,2,840.0,-1
at:41:10529,Wolfau Abzw. Obere Bergen,47.26884893,16.08779368,3,3,560.0,-1
at:41:10533,Wolfau Kemeter Straße,47.25279068,16.10439454,3,3,560.0,-1
at:41:10534,Wolfau Untere Bergen,47.24683924,16.10367589,3,3,560.0,-1
at:41:10582,Hirm Hauptstraße,47.78818241,16.4589506,3,2,840.0,-1
at:41:10583,Hirm Kirche,47.78729518,16.45455784,3,3,560.0,-1
at:41:10584,Hirm Kleinfrauenhaider Straße,47.7828769,16.45234799,3,3,560.0,-1
at:41:10585,Kleinfrauenhaid Friedhof,47.77374943,16.43770545,3,3,560.0,-1
at:41:10586,Krensdorf Gemeindeamt,47.7850378,16.41509485,3,3,560.0,-1
at:41:18266,Langzeil Tränkbrücke,47.03920699,16.29269939,3,19,88.42105263157895,6
at:41:18286,Rechnitz Haydngasse,47.29825203,16.44427213,3,17,98.82352941176471,6
at:41:18291,Großpetersdorf Sportplatzgasse,47.24024674,16.3237811,3,16,105.0,6
at:41:18292,Unterwart Obere Mühlgasse,47.26427703,16.22884714,3,23,73.04347826086956,6
at:41:18293,Unterwart Rosengasse,47.26767856,16.2261522,3,20,84.0,6
at:41:18295,Oberwart Fichtengasse,47.2816908,16.22132825,3,37,45.4054054054054,5
at:41:18312,Deutsch Minihof Ziegelofen,46.96133965,16.24936467,3,13,129.23076923076923,7
