stop_id,stop_name,stop_lat,stop_lon,rank,count,interval,category
at:41:3087,Bad Sauerbrunn Bahnhof,47.7738701730191,16.324886031214,1,45,37.333333333333336,3
at:41:3145,Baumgarten-Schattendorf Bahnhof,47.7275139949144,16.5182573793005,0,35,48.0,3
at:41:3186,Breitenbrunn Bahnhof,47.9412290178053,16.7463845457344,0,45,37.333333333333336,2
at:41:3294,Deutschkreutz Bahnhof,47.6038268528795,16.6200544673111,0,43,39.06976744186046,2
at:41:3298,Donnerskirchen Bahnhof,47.8885710090209,16.6604157730322,0,45,37.333333333333336,2
at:41:3303,Draßburg Bahnhof,47.747831237274,16.4947754177703,0,35,48.0,3
at:41:3351,Eisenstadt Bahnhof,47.8391516836508,16.5290551290171,0,92,18.26086956521739,1
at:41:3443,Frauenkirchen Bahnhof,47.8397727307877,16.9158517241071,0,36,46.666666666666664,3
at:41:3490,Eisenstadt Schule,47.8438726612536,16.536699792086,0,59,28.47457627118644,2
at:41:3531,Gols Bahnhof,47.8919021043317,16.9046407493598,0,36,46.666666666666664,3
at:41:3831,Jois Bahnhof,47.9566742664362,16.7907703039289,0,45,37.333333333333336,2
at:41:4109,Loipersbach-Schattendorf Bhf.,47.7006356966254,16.4920355561534,0,39,43.07692307692308,3
at:41:4176,Marz-Rohrbach Bahnhof,47.7174581663292,16.428937890588,0,40,42.0,3
at:41:4177,Mattersburg Bahnhof,47.7356950096445,16.4089503755136,0,54,31.11111111111111,2
at:41:4227,Müllendorf Bahnhof,47.834255401235,16.4596872227677,0,63,26.666666666666668,2
at:41:4309,Mönchhof-Halbturn Bahnhof,47.8740695141256,16.9480832765058,0,36,46.666666666666664,3
at:41:4325,Neudörfl Bahnhof,47.7938977544503,16.3004159228712,1,45,37.333333333333336,3
at:41:4327,Neufeld an der Leitha Bahnhof,47.8684051775141,16.381273281606,0,63,26.666666666666668,2
at:41:4348,Neusiedl am See Bad Bahnhof,47.9426913096469,16.8449746481802,0,36,46.666666666666664,3
at:41:4351,Neusiedl am See Bahnhof,47.955856090913,16.824007969446,0,81,20.74074074074074,2
at:41:4367,Nickelsdorf Bahnhof,47.9425649403799,17.0866663754062,0,27,62.22222222222222,4
at:41:4464,Pamhagen Bahnhof,47.7043294888001,16.9037873498397,0,45,37.333333333333336,2
at:41:4469,Parndorf Bahnhof,47.9869977773654,16.8708910441307,0,55,30.545454545454547,2
at:41:4473,Parndorf Ort Bahnhof,47.9921982563068,16.8517299791178,0,137,12.262773722627736,1
at:41:4592,Purbach am Neusiedler See Bf.,47.9062420403619,16.6985223073898,0,45,37.333333333333336,2
at:41:4731,Schützen am Gebirge Haltestelle,47.8515591575304,16.630492890914,0,45,37.333333333333336,2
at:41:4732,Schützen am Gebirge Bahnhof,47.8482375251844,16.6192639498609,0,45,37.333333333333336,2
at:41:4821,St. Andrä am Zicksee Bahnhof,47.7825931996072,16.92805982882,0,37,45.4054054054054,3
at:41:5143,Wallern im Bgld Bahnhof,47.7337979020785,16.9305212126988,0,35,48.0,3
at:41:5157,Weiden am See Bahnhof,47.9257671141044,16.8638482523022,0,36,46.666666666666664,3
at:41:5233,Wiesen-Sigleß Bahnhof,47.7531463642883,16.3700712900115,1,45,37.333333333333336,3
at:41:5248,Winden am See Bahnhof,47.9469997150699,16.7589609597138,0,45,37.333333333333336,2
at:41:5286,Wulkaprodersdorf Bahnhof,47.7893834700492,16.4908946957424,0,99,16.96969696969697,1
at:41:5288,Wulkaprodersdorf Haltestelle,47.7990754213249,16.4965001831161,0,62,27.096774193548388,2
at:41:5312,Zurndorf Bahnhof,47.9681574364806,17.0239280359546,0,22,76.36363636363636,4
at:41:5969,Neudorf,48.008908385848,16.9384174040474,0,32,52.5,3
at:41:5970,Gattendorf Bahnhof,48.0106452074367,16.9808448349222,0,32,52.5,3
at:41:5971,Pama Bahnhof,48.0420721684907,17.0413463693161,0,31,54.193548387096776,3
at:41:5972,Kittsee Bahnhof,48.0815164687755,17.0714938302553,0,31,54.193548387096776,3
