,stop_id,stop_name,stop_lat,stop_lon,count
977,at:48:226,Sulz Gasthaus Adler,47.28247693,9.65098737,189
978,at:48:2260,Lochau Bahnhofstraße,47.53055958,9.75069139,30
979,at:48:2261,Dornbirn Furt,47.42619176,9.71891798,112
980,at:48:227,Bludenz St. Peterstraße,47.15117083,9.8249102,87
981,at:48:2273,Bartholomäberg Grünerwald,47.08540806,9.91238814,38
982,at:48:2274,Bolgenach Herbigen,47.46498202,9.97902517,14
983,at:48:2275,Bolgenach Schönenbühl,47.46776944,9.95486947,34
984,at:48:2276,Sulz Unterm Berg,47.2910871,9.64853497,20
985,at:48:2277,Röthis Alte Landstraße,47.29477935,9.6461724,28
986,at:48:2278,Koblach Straßenhäuser Süd,47.31186637,9.61997753,102
987,at:48:2279,Lech Schlosskopf,47.21203795,10.14503383,144
988,at:48:228,Sulz Alemannenstraße,47.28688883,9.65114009,31
989,at:48:2282,Hard Grafencenter,47.47775801,9.67947295,55
990,at:48:2283,Lauterach Zum Kreuz,47.47920301,9.73179982,114
991,at:48:2285,Bludenz Altstoffsammelzentrum,47.13670852,9.83911256,28
992,at:48:2286,Hittisau Helmisau Stollen,47.45636376,9.99267058,30
993,at:48:2287,Lauterach Rotachstraße,47.4765437,9.71474979,55
994,at:48:2289,Lustenau Raiffeisenstraße,47.42552931,9.65771576,44
995,at:48:229,Sulz Frödisch-Brücke,47.28410402,9.65645811,31
996,at:48:2290,Emsreute Schollaschopf,47.37368676,9.73476426,28
997,at:48:2293,Au Lisse,47.32224381,9.97611463,20
998,at:48:2294,Schoppernau Hinterm Stein,47.30761493,10.02400381,43
999,at:48:2295,Bizau Eschenmoos,47.37051107,9.9149124,54
1000,at:48:2296,Au Leue,47.3181759,9.96182243,20
1001,at:48:2297,Hard Wirke,47.48512223,9.692777,55
1002,at:48:2298,Bludenz Untere Bünta,47.15217882,9.8379717,19
1003,at:48:2299,Damüls Parkplatz Uga,47.28612104,9.88798091,20
1004,at:48:23,Tschagguns Schanzenzentrum,47.06781354,9.91528071,70
1005,at:48:2301,Klösterle Flexengalerie,47.14066207,10.16597356,48
1006,at:48:2303,Lustenau Rosenlächerstraße,47.42862269,9.66061731,1
1007,at:48:2309,Hohenems Salomon-Sulzer-Straße,47.36737169,9.68911187,166
1008,at:48:231,Sulz Lonserstraße,47.28810143,9.64772649,31
1009,at:48:2310,Bludenz Spitalgasse,47.15994283,9.82340103,29
1010,at:48:2311,Damüls Sunnegg Kassa,47.29176952,9.87901573,12
1011,at:48:2312,Damüls Bunny's Übungswelt,47.29063012,9.88126151,12
1012,at:48:232,Sulz Gasthaus Löwen,47.28659025,9.65211027,191
1013,at:48:2326,Sonntag Volksschule,47.23865491,9.8987607,2
1014,at:48:2327,Sulzberg Fötschern,47.51780857,9.87013139,35
1015,at:48:233,Sulz-Röthis Bahnhof,47.29405433,9.63502431,39
1016,at:48:2330,Hard Holzlütweg,47.49033058,9.69450177,58
1017,at:48:2331,Rankweil Rottlaweg,47.27247569,9.6289517,91
1018,at:48:2332,Rankweil Volksschule Montfort,47.27964313,9.63991115,33
1019,at:48:2336,Schlins Wiesenbachweg,47.20445855,9.69633433,115
1020,at:48:2337,Weiler Buxera,47.30499568,9.64422306,70
1021,at:48:2338,Dornbirn Moosmahdstraße,47.41513571,9.73945346,511
1022,at:48:2339,Bezau Unterdorf,47.38531716,9.89643406,133
1023,at:48:234,Sulz Treietstraße,47.29095305,9.65270316,100
1024,at:48:2340,Hörbranz Sozialzentrum,47.55771946,9.75149987,1
1025,at:48:2341,Schröcken Unterschmitte,47.26096063,10.09437783,20
1026,at:48:2342,Dornbirn Messequartier,47.40849123,9.71192908,299
1027,at:48:2344,Dornbirn Egeten,47.40868578,9.73231186,270
1028,at:48:235,Sulz Untere Austraße,47.28211739,9.65149941,28
1029,at:48:2358,Wolfurt Lerchenstraße,47.47881444,9.74579557,56
1030,at:48:2359,Wolfurt Montfortstraße,47.47595474,9.74757423,56
1031,at:48:2361,Frastanz Auf Kasal,47.22151983,9.632527,47
1032,at:48:2364,Frastanz Kirchplatz,47.21590047,9.63244615,25
1033,at:48:2368,Au Schule,47.32313895,9.98346284,4
1034,at:48:2369,Ebnit Unteres Rappenloch,47.38419195,9.77929375,4
1035,at:48:237,Sulzberg Altersheim,47.51884599,9.90962133,5
1036,at:48:2374,Fußach Dorfstraße,47.47616118,9.66242293,101
1037,at:48:2375,Hard Alpla,47.46936653,9.67114557,56
1038,at:48:2376,Lustenau Sender,47.44578791,9.69634331,139
1039,at:48:2377,Lustenau Kindergarten Rotkreuz,47.43963338,9.66219835,57
1040,at:48:2378,Riefensberg Grenzbrücke,47.51865186,9.96869454,27
1041,at:48:238,Bludenz Fatimakirche,47.16493294,9.81304345,29
1042,at:48:2380,Feldkirch Blasenberggasse,47.23427559,9.58809632,60
1043,at:48:2384,Koblach Rheinmahd,47.3153562,9.60236157,104
1044,at:48:2385,Feldkirch Schloßgraben,47.23858172,9.59821135,142
1045,at:48:2388,Dornbirn Stöckenstraße,47.38716003,9.71959171,112
1046,at:48:239,Sulzberg Badhaus,47.52385689,9.91110355,36
1047,at:48:2391,Reuthe Feuerwehrhaus,47.37931371,9.8870287,10
1048,at:48:2392,Reuthe Bahnhöfle,47.3834499,9.87462296,10
1049,at:48:2393,Lustenau Heimkehrersiedlung,47.43921414,9.65842542,57
1050,at:48:2394,Ludesch MZO Oberland,47.19746404,9.77728152,2
1051,at:48:2395,Brederis L52/Unterer Paspelsweg,47.28758958,9.58707224,133
1052,at:48:2397,Alberschwende Kirchplatz,47.45045345,9.83075823,57
1053,at:48:2398,Wolfurt Kreiennest,47.45251272,9.75282938,55
1054,at:48:24,Tschagguns Steg,47.06315699,9.93186361,70
1055,at:48:240,Sulzberg Brögen,47.50902907,9.91034896,3
1056,at:48:2400,Egg Kammern,47.43011158,9.88849295,37
1057,at:48:2402,Wald Göttschlig,47.13051792,10.04908478,56
1058,at:48:2404,Tisis Fangsweg,47.21832888,9.5765889,29
1059,at:48:2405,Tisis Am Riedle,47.22014708,9.57780163,29
1060,at:48:2406,Tisis Käferriedweg,47.22154423,9.57384904,27
1061,at:48:2407,Tisis Legerstraße,47.22387478,9.57614873,27
1062,at:48:2408,Tisis Tisner Weiher,47.2258758,9.57798129,27
1063,at:48:2409,Tisis Grißstraße,47.22742532,9.57780163,27
1064,at:48:241,Sulzberg Brucktobel,47.52868534,9.90540823,36
1065,at:48:2410,Feldkirch Antoniushaus,47.23436098,9.58644342,29
1066,at:48:2411,Vandans Raphaelaweg,47.09231948,9.86382521,13
1067,at:48:2412,Bürs Bremschl,47.15166566,9.81553178,27
1068,at:48:2413,Bürs Almteil,47.14929529,9.81716672,27
1069,at:48:2414,Bludenz Skaterplatz,47.15495836,9.83088399,13
1070,at:48:2415,Doren Moos Kapelle,47.49645491,9.9028121,38
1071,at:48:2416,Doren Standbach Brücke,47.51026691,9.86709508,40
1072,at:48:2419,Nenzing Walgaukraftwerk,47.20025341,9.67083116,17
1073,at:48:242,Sulzberg Dorfplatz,47.52099358,9.91245102,43
1074,at:48:2420,Eichenberg Stockach,47.52437251,9.79234627,6
1075,at:48:2421,Eichenberg Lehen,47.54597555,9.78934589,6
1076,at:48:2422,Eichenberg Möschen,47.5294496,9.79925431,6
1077,at:48:2423,Bregenz Amtsplatz,47.49985363,9.75024223,4
1078,at:48:2424,Dornbirn Panoramahaus,47.41250963,9.71370775,359
1079,at:48:243,Sulzberg Eschau,47.5142654,9.87457805,35
1080,at:48:2439,Ludesch Zimbablick,47.19729313,9.78554602,29
1081,at:48:244,Sulzberg Gullenbach,47.52943141,9.96378076,6
